effects1,effects2
1.3828121177,0.6297193947
0.3650666206,0.2634606121
1.0007575949,0.7131229204
1.2655932856,0.9768446012
0.1606827257,0.6935762304
0.293502034,0.3638189107
1.1770439072,1.1083789042
0.6090638783,0.5838166959
0.9106587452,1.1870675542
0.293667852,0.0936367899
0.5879981615,0.4270291147
0.5741875295,0.379524503
1.2101656883,0.3592342974
0.2168871323,0.3161168927
0.578922059,0.455719076
1.064599201,0.998913257
0.5782407113,1.2747944328
0.1383038904,0.3952449309
0.6431623885,0.4907942204
0.576381626,0.4141908119
0.5663708446,0.4776595927
0.5511047078,0.6274845103
0.4916587404,0.7069464371
0.5891754231,0.5831366369
0.5655813168,0.5343666259
0.5285244959,0.6234159334
0.3660175956,0.4795863316
0.6592962846,0.6833285338
0.4503448473,0.3652619153
0.235078039,0.0067536738
0.3886050271,0.5443851813
0.1803356671,0.5077261332
0.1920637119,0.7035212862
0.5195500125,0.158769603
0.1647036204,0.6665162246
0.2419036798,0.5742196611
0.3641438651,0.9014494111
0.1626062629,0.529984378
0.6516830941,0.7676546233
0.6290638795,0.5695393404
0.3910648533,0.2626656337
0.6942907446,0.8505726213
0.4473063265,0.8331630402
0.547957681,0.6742515119
0.6430268338,0.8118927628
0.4767812964,1.0362294318
0.341505889,0.5204627345
0.4854284264,0.8750166399
0.6186389447,0.5876712338
1.0694398214,0.6757350252
0.7273449735,0.6192125818
0.0855731718,0.8558432541
0.5669436525,0.4942522233
0.8544198005,0.4802821936
0.3945941885,0.5379088694
0.7918686327,1.0668609167
1.5359160871,1.0506798312
0.5477480454,0.6619627155
1.2396654763,0.8182931535
0.2009153037,0.6711356024
0.1952013896,0.8429525161
0.9674050088,0.988070014
0.6358035684,0.6915569802
0.1135501521,0.626748414
0.3188024227,0.6276163601
0.5381028227,0.5019080353
1.0977124311,0.4550480393
0.4943180275,1.0770797277
0.6125041867,0.17656311
0.1092708522,0.3380405129
0.3494518338,0.8755631067
0.6471995951,1.3302768207
0.6623200711,0.4950488224
0.7381886638,0.896905855
0.5233937021,0.6616063138
0.3511611491,0.5066103399
0.335834279,0.4154043256
0.3832343085,0.6044459902
0.2436398689,1.3125040587
0.6838467193,0.7781269443
0.5885265496,0.8267768737
0.893839965,0.4661163247
0.3988746002,0.1581151469
0.4612074697,0.6166221407
0.1933412141,0.4672383935
0.3592661022,0.4995803865
0.3320835223,0.9702914015
0.8017842382,0.7808764922
1.3454865075,1.6127516539
0.8862933932,1.2542192199
0.565303687,0.5056456636
0.5079548731,0.7272682824
1.096436589,1.1205718194
0.4126043756,0.4826404534
0.916498215,1.4123513653
0.4737668095,0.3562378278
0.578281124,1.2794134246
0.8196989709,0.9044608587
0.4438949558,0.6751956139
1.0088999267,1.1785683959
0.6553192437,0.8367093674
0.5963084657,0.5815961288
1.0008778048,0.7535553043
0.7823345135,0.4227576789
0.9086442634,0.6559041319
0.6708617146,0.7591255505
0.356388065,0.8584686758
0.6355529831,0.3950264661
0.7718170321,1.4227738184
0.6275773489,0.7469197052
0.4367129515,0.3713284631
1.2862355501,1.0661462213
0.5822069951,0.6430502483
0.4394456512,0.6600470706
0.6001128822,0.4827343228
0.7718482658,1.1063343553
0.4196902197,0.6581930188
0.5458215219,0.3224890472
0.388546933,0.5245602328
0.3104559043,0.5944422742
0.9608344255,0.5097233635
0.1978020501,0.3154282625
1.0252742488,1.0980711547
1.0516490705,0.6340934048
0.771630909,0.7260847404
0.8072928209,0.5490788167
