costs1,costs2
1125.8755059672,1641.7573092186
1118.9647757058,1655.3575244786
1290.8140292318,1640.4510565316
1184.2554676321,1630.8848221558
1265.6969146125,1728.7426518329
1052.2562954529,1550.5456970601
1160.3186567249,1644.4717442332
1044.0762707589,1554.4638035832
1126.3343242673,1637.7179421978
1110.4569715361,1713.0963603039
1064.0832171222,1646.6363554984
1316.691252605,1655.0475179975
1007.6401759095,1508.3834542148
1044.3686886977,1774.4289511511
1063.558732075,1541.0390772514
1119.0117030757,1681.9462543606
1055.9180067484,1535.4114208654
1073.1031957781,1719.015711663
1441.9084135814,1800.1762358927
1157.7272718491,1764.939730056
1070.3826156276,1550.7573359295
1030.289132736,1522.1247942175
1072.2848548528,1726.123794995
1141.4026106052,1613.3367383249
1157.1275548404,1705.6440530087
1142.8678017696,1552.4034265711
1093.0868126026,1541.4741155519
1102.6611685993,1578.0061500769
1127.0986754968,1728.075709204
1144.4460482788,1663.9601152406
1065.3727882071,1570.195375296
1506.8244013208,2033.3575899589
1247.7683678374,1635.3098958859
1113.021827716,1762.4648662664
1123.9411747295,1975.3333187947
1489.5013883566,1685.6262419989
1134.9706372375,1667.059108901
1843.4355682012,1978.3318437816
1206.4943303575,1691.2888905069
1102.804743995,1548.0073217592
1103.0998290201,1622.7327224853
1160.3546180199,1608.4323088796
1628.8119573469,1861.4691115286
1140.5548719364,1699.1745644837
1190.0003458088,1649.435413347
1160.0485811083,1687.6860919751
1235.1125799223,1692.9588846288
1212.8895802012,1733.3361465775
1445.1201373906,1713.1975150443
1227.0693184058,2054.1720593458
1414.8338096753,1784.8401175825
1287.8128091759,1739.4376731397
1056.6387205994,1563.7210319041
1338.7691873424,1964.733448514
1374.5461148108,1678.7413546117
1071.2591728918,1534.1810191346
1462.8673140245,1768.5686928964
1193.6295913694,1707.3992171583
1086.1659236881,1845.0546502202
1159.2356369533,1586.7054793832
1199.9541251783,1670.9196861953
1047.9337689976,1613.5452858037
1146.7514488287,1627.9048418698
1207.1776424615,1713.1070649072
1112.1404051737,1613.69787186
1172.5489651968,1776.1558629901
1099.9159927072,1570.3933841034
1082.5022208543,1522.4950289612
1333.5280686659,1959.9118049704
1151.7885518576,1585.7557913573
1348.5889476778,1704.1957925333
1313.743783872,1629.6716345945
1235.1093445397,1647.9035720443
1218.578933244,1948.1079790916
1402.9756311985,1946.378776485
1144.2926882066,1596.5020027856
948.5830307501,1486.8623795361
1566.8737369744,2200.2630768342
1213.7793830886,1621.0499757727
1261.2059010879,1753.3825184976
1155.8691509505,1610.7676230533
1296.3885726967,1709.2805921711
1144.5855267502,1678.2582543249
1219.7624188636,1772.8700192905
989.9774863365,1721.0280341001
1069.4587423522,1564.9252089273
1270.6803207191,1924.0600658429
1330.4994760585,1707.344899477
1231.383481323,1661.1466158232
1068.179422795,1554.8131135173
1331.4742689097,1751.4443121862
1419.6584094207,1684.0517684994
1051.7550231946,1543.9231695842
1131.7121806969,1645.9570943816
988.331083616,1667.3911042547
1146.9212001774,1551.0612880478
1075.3498114632,1602.8737237515
1307.6362220109,1950.2211592415
1095.0114818892,1604.9260345387
1027.7620564546,1530.1148166885
1210.0824093306,1577.283869901
1190.7508695808,1658.2884188933
1046.0340102418,1674.583917348
897.9449967104,1422.5777238558
1062.6458130914,1621.299985454
1300.9434339534,1851.8479712697
1225.8416086388,1718.3926115841
1311.3818007352,1751.0611005104
1253.592111933,1703.0116819459
1061.5020094894,1600.5995443165
1210.6081311951,1665.0287651352
1287.1004102184,1692.3221524472
1228.3191904247,1773.4981039433
1383.3783445975,1717.6477270722
1264.572572053,1634.381466287
1046.0572343346,1594.876354948
1183.0412318409,1938.6465962343
1000.1689545045,1499.7272287315
1131.0122234309,1628.8527945548
1072.8912576945,1694.6623998617
1224.9227186156,1587.2517023575
1260.0822256448,1931.2352273112
1199.2298838338,1734.703590052
1353.7804694784,1691.13387107
1127.7292563904,1646.8191818553
1162.1292771377,1632.4579556746
1174.3266950809,1755.5857519172
1179.240738564,1904.5170797707
950.5103019147,1444.78587582
1162.9093611011,1687.7489565174
1215.2937710126,1668.6337209943
1149.3435842417,1635.5483608805
1267.279916014,1711.418813439
1336.9379255807,1623.9858965735
1184.1908974695,1696.0166001534
1496.6981439044,1880.6204825122
1601.943628229,1798.9042471688
1157.2423135604,1754.4757162664
1067.9317684964,1684.5891571269
1065.106482048,1569.9487577653
1196.3587275553,1691.451455871
1165.0771071722,1537.3645485255
1302.3868510914,1609.729708098
1216.6980055456,1809.9732958721
1182.2870456006,1572.8877263849
1881.8384852442,2019.8359401705
1058.7415880878,1700.8117920243
1525.1838959011,1844.2109552088
978.3790129968,1477.8793530032
1272.4652630742,1682.0767128185
1066.6216040304,1536.7623598734
